user_id,months_since_joined,num_service_plans,total_spent,total_data_usage,total_call_minutes,total_sms_used,num_support_tickets,avg_rating,churned
1,53.19,2,315067.08999999997,6.85,46,47,1.0,0.0,0
2,29.42,1,114865.81,0.0,19,0,2.0,2.5,0
3,7.66,2,219820.79,8.47,37,36,1.0,2.0,0
4,3.65,1,176679.56,0.0,0,39,0.0,0.0,0
5,53.12,3,376482.28,7.069999999999999,41,28,2.0,0.5,0
6,42.04,3,226100.41999999998,1.18,36,114,2.0,1.5,0
7,45.13,1,56283.07,0.0,40,47,0.0,0.0,0
8,34.25,1,142077.94,0.0,0,0,2.0,2.0,0
9,51.18,2,240627.53,1.61,7,10,0.0,0.0,0
10,8.05,3,278211.16000000003,5.97,71,90,0.0,0.0,0
11,27.32,3,264514.5,8.93,0,41,0.0,0.0,1
12,62.13,3,444492.2,9.16,45,27,2.0,0.0,0
13,64.37,3,259835.44,13.47,71,14,0.0,0.0,0
14,5.33,1,187174.23,0.0,27,50,0.0,0.0,0
15,63.97,1,65992.71,2.14,46,0,0.0,0.0,0
16,35.37,2,288536.51,0.0,48,0,0.0,0.0,1
17,24.82,3,362649.82,12.829999999999998,61,21,0.0,0.0,0
18,48.98,1,183665.13,0.0,23,0,0.0,0.0,1
19,29.68,1,149679.68,0.39,6,0,0.0,0.0,0
20,42.87,3,498055.75,3.2,43,0,0.0,0.0,0
21,38.86,3,385545.56999999995,0.01,78,1,1.0,1.0,0
22,29.75,2,243039.13,0.0,0,84,1.0,5.0,0
23,46.78,1,191096.68,6.54,0,2,0.0,0.0,0
24,36.75,1,153841.54,0.0,0,0,1.0,3.0,0
25,53.88,2,239741.83000000002,0.0,21,26,0.0,0.0,0
26,52.14,1,191688.09,8.2,12,0,1.0,5.0,0
27,34.06,3,504867.08999999997,7.06,68,34,0.0,0.0,1
28,48.78,1,57488.91,0.0,0,0,1.0,0.0,0
29,49.67,3,458895.38,9.12,8,7,0.0,0.0,0
30,25.61,3,312562.05,4.63,11,9,0.0,0.0,0
31,31.16,3,456706.24,11.14,52,21,1.0,0.0,0
32,40.66,2,367043.69,0.0,7,32,0.0,0.0,1
33,26.69,3,186770.56,10.64,0,17,0.0,0.0,0
34,9.37,1,167264.57,8.39,0,0,0.0,0.0,0
35,53.52,3,371338.12,15.8,23,45,0.0,0.0,0
36,26.33,2,237662.2,2.52,23,65,2.0,2.5,0
37,7.26,1,57591.6,0.0,0,30,0.0,0.0,0
38,48.45,2,289082.63,9.37,0,0,1.0,0.0,0
39,10.16,3,259843.78000000003,1.71,39,45,2.0,0.5,0
40,41.91,2,260949.79,2.8,33,0,2.0,0.0,1
41,36.49,2,267537.61,5.46,0,0,2.0,3.5,0
42,2.27,2,225131.39,0.0,43,0,2.0,0.5,0
43,21.3,2,300488.33999999997,2.72,74,0,1.0,5.0,0
44,40.3,2,346972.19999999995,0.0,11,0,0.0,0.0,0
45,19.86,2,374204.06,18.13,0,21,1.0,0.0,0
46,21.66,1,189858.23,8.92,32,0,1.0,0.0,0
47,8.78,2,198985.46,0.0,29,0,2.0,2.5,0
48,25.05,3,370413.93,5.07,3,44,2.0,1.5,1
49,48.19,2,349361.31,0.0,19,0,0.0,0.0,1
50,42.64,2,252889.82,7.09,0,0,2.0,4.0,0
51,57.82,2,314942.6,1.83,40,59,0.0,0.0,0
52,1.81,1,124344.61,0.0,0,0,1.0,0.0,1
53,58.42,1,69493.05,0.0,0,0,0.0,0.0,0
54,11.97,1,175253.49,8.81,0,10,0.0,0.0,0
55,0.89,2,218078.21000000002,16.65,0,23,1.0,0.0,0
56,30.7,3,284392.0,0.25,65,0,1.0,0.0,0
57,43.72,3,381494.30000000005,18.56,25,55,0.0,0.0,0
58,7.3,2,333526.5,17.04,42,54,0.0,0.0,0
59,30.8,1,102393.57,0.0,0,0,1.0,3.0,0
60,18.15,3,366612.87,10.88,2,42,0.0,0.0,0
61,25.38,2,278961.2,9.1,59,6,0.0,0.0,1
62,10.62,1,147515.16,9.76,0,5,2.0,3.0,0
63,29.36,2,195870.79,3.55,38,20,0.0,0.0,0
64,8.94,3,329764.05,8.22,35,1,1.0,0.0,0
65,49.9,3,459055.92,3.43,122,3,0.0,0.0,0
66,38.49,1,180323.73,0.0,0,37,0.0,0.0,1
67,10.06,3,330301.58,9.040000000000001,81,40,0.0,0.0,0
68,14.43,3,306366.29000000004,0.0,64,40,0.0,0.0,0
69,8.22,2,289510.56,18.03,39,31,1.0,4.0,0
70,63.58,2,221372.32,7.46,54,0,1.0,0.0,0
71,30.67,2,279917.01,3.16,31,21,2.0,0.5,0
72,32.22,1,100300.36,0.0,25,0,1.0,3.0,0
73,49.64,2,272610.65,3.97,0,0,1.0,3.0,0
74,14.4,3,370853.08999999997,14.83,0,45,2.0,1.5,0
75,9.96,2,259880.32,6.32,0,80,0.0,0.0,0
76,34.39,1,161123.86,0.0,22,16,0.0,0.0,0
77,1.84,1,105275.57,8.53,0,0,1.0,0.0,0
78,52.6,2,374655.15,7.31,47,26,2.0,1.0,0
79,56.11,1,166516.97,5.56,0,0,0.0,0.0,0
80,4.5,2,242882.72999999998,8.93,47,57,1.0,0.0,0
81,14.56,2,306482.29000000004,0.01,0,28,2.0,4.0,0
82,14.99,2,330594.30000000005,0.0,7,0,2.0,3.0,0
83,3.91,2,381779.05000000005,0.0,52,0,1.0,3.0,1
84,51.97,2,224650.07,4.92,43,45,1.0,0.0,0
85,6.51,1,130935.79,6.33,0,0,2.0,0.5,0
86,52.7,1,139962.47,0.46,0,6,0.0,0.0,0
87,38.49,3,310791.33,5.7,122,9,0.0,0.0,0
88,17.06,3,382987.24,0.0,76,30,0.0,0.0,0
89,35.96,2,238008.63,0.0,47,0,1.0,2.0,0
90,52.2,3,309019.53,9.9,47,5,0.0,0.0,1
91,41.85,3,403728.36,4.81,72,30,0.0,0.0,0
92,49.38,3,364115.43,8.78,36,33,0.0,0.0,1
93,28.04,2,194649.64,5.75,21,0,0.0,0.0,0
94,55.33,1,133384.38,3.59,18,8,1.0,0.0,0
95,32.15,1,165563.11,7.41,47,0,1.0,1.0,0
96,43.13,3,349139.81,5.08,31,64,2.0,0.0,0
97,8.68,2,301029.27999999997,6.07,34,38,0.0,0.0,0
98,43.43,1,60113.32,0.0,0,29,2.0,0.0,0
99,15.91,1,76651.93,0.0,44,0,0.0,0.0,0
100,63.28,2,288012.14,0.0,0,0,0.0,0.0,0
101,16.01,1,124440.86,9.53,4,16,0.0,0.0,0
102,11.01,1,179871.68,0.0,0,0,0.0,0.0,0
103,6.11,3,453825.06999999995,5.28,0,39,1.0,5.0,0
104,53.52,2,221457.96,18.73,0,14,2.0,1.0,0
105,47.17,3,435902.49,11.48,57,0,0.0,0.0,0
106,44.08,2,274140.66000000003,2.37,0,0,0.0,0.0,0
107,64.14,3,509159.33999999997,2.09,69,44,1.0,0.0,1
108,38.43,3,214558.43,7.050000000000001,20,40,0.0,0.0,0
109,37.67,3,387392.48,0.15,18,47,2.0,0.0,0
110,50.43,2,329696.25,0.0,65,8,1.0,0.0,0
111,51.22,2,183758.77000000002,6.35,35,0,0.0,0.0,0
112,14.33,1,106967.56,5.16,0,18,0.0,0.0,0
113,59.01,3,332195.22,0.98,66,26,0.0,0.0,0
114,53.55,3,332759.7,4.73,23,76,0.0,0.0,0
115,18.31,3,472974.25,0.92,38,24,2.0,0.5,0
116,61.97,1,197104.27,3.02,32,0,1.0,0.0,0
117,38.89,1,94326.71,0.0,48,0,0.0,0.0,0
118,59.34,2,227130.21,5.47,32,57,2.0,0.5,0
119,9.37,3,374873.92,12.879999999999999,4,24,1.0,2.0,0
120,59.01,3,435208.17,2.91,57,5,0.0,0.0,0
121,10.06,2,216538.47,11.48,0,1,2.0,0.5,0
122,6.61,2,232396.81,2.35,46,33,1.0,1.0,0
123,30.67,3,386429.65,5.57,14,0,2.0,0.0,0
124,34.81,3,332187.59,7.32,73,72,2.0,3.0,0
125,60.49,2,293641.9,8.5,36,0,0.0,0.0,0
126,48.49,1,137622.49,2.35,17,48,2.0,2.5,0
127,42.14,2,178988.03,7.42,0,1,0.0,0.0,0
128,26.73,3,398255.3,18.22,39,20,0.0,0.0,0
129,48.75,1,85741.97,0.0,23,11,0.0,0.0,0
130,59.24,2,262158.02,8.79,42,19,0.0,0.0,0
131,48.45,1,174601.36,0.0,48,0,0.0,0.0,0
132,26.04,3,445730.9,18.26,36,9,2.0,2.5,0
133,45.13,3,486346.16000000003,2.91,39,32,2.0,3.5,0
134,9.3,2,247316.81,4.17,35,0,1.0,0.0,0
135,6.18,3,321023.48,2.02,96,30,0.0,0.0,0
136,30.37,3,393536.47000000003,12.19,21,0,2.0,2.0,0
137,29.45,1,194391.51,0.0,18,15,0.0,0.0,0
138,24.72,2,233391.91999999998,0.0,4,46,0.0,0.0,0
139,22.45,2,204240.33000000002,10.879999999999999,6,51,0.0,0.0,0
140,1.91,3,323553.71,10.01,0,21,1.0,0.0,0
141,17.19,1,145944.44,6.18,0,0,0.0,0.0,0
142,60.22,1,154678.19,0.0,0,0,1.0,0.0,0
143,53.58,3,228283.81,7.96,0,46,0.0,0.0,0
144,37.64,1,68251.66,0.0,0,46,2.0,5.0,0
145,61.31,1,83705.89,3.99,0,6,0.0,0.0,0
146,10.26,2,161002.85,17.16,27,39,0.0,0.0,0
147,42.7,3,395769.44,22.86,16,54,0.0,0.0,0
148,6.41,3,326607.64,5.24,45,2,0.0,0.0,0
149,3.75,3,445545.67,0.0,0,29,0.0,0.0,0
150,28.96,1,51266.03,0.0,0,40,0.0,0.0,0
151,0.92,3,302563.02,9.45,4,15,1.0,1.0,0
152,62.36,2,309206.44,2.35,47,44,0.0,0.0,0
153,18.67,3,483136.27,0.0,22,11,0.0,0.0,0
154,36.59,3,388372.46,7.93,34,47,0.0,0.0,0
155,43.82,3,457144.66,7.53,0,30,1.0,5.0,1
156,35.34,3,356596.68,14.629999999999999,25,7,0.0,0.0,0
157,55.82,2,144476.75,8.4,1,0,0.0,0.0,1
158,40.24,1,103381.4,4.56,24,0,0.0,0.0,0
159,33.99,3,284655.01,0.0,47,60,0.0,0.0,0
160,40.76,3,253980.99,7.58,96,34,1.0,0.0,0
161,16.07,1,164063.73,1.97,0,26,0.0,0.0,0
162,36.82,1,131241.0,1.72,48,27,0.0,0.0,0
163,60.06,3,322419.25,10.65,45,24,0.0,0.0,0
164,32.74,2,287608.8,5.37,0,45,0.0,0.0,0
165,30.8,1,187254.51,2.19,0,0,0.0,0.0,0
166,20.51,1,171450.42,7.96,2,14,1.0,2.0,0
167,5.52,1,110346.89,0.0,11,38,0.0,0.0,0
168,20.09,2,254224.02000000002,6.32,0,0,2.0,4.0,0
169,18.57,1,82199.52,0.0,0,2,1.0,0.0,0
170,56.57,2,250156.78,1.17,0,65,0.0,0.0,0
171,12.92,3,492922.57999999996,26.5,0,34,1.0,4.0,0
172,52.7,2,205822.59,0.52,32,0,0.0,0.0,0
173,39.84,3,487639.42000000004,24.96,0,66,1.0,0.0,0
174,45.73,2,268868.15,11.34,37,49,0.0,0.0,0
